lat,lon,total_cost_0,total_cost_2020,total_cost_2050,total_cost_future_2030,total_cost_future_2040,total_cost_future_2050,pop,Country
11.295711,119.675712,266685.5670427151,266685.56704234454,266685.5670423197,266685.56704257114,266685.567042602,266685.5670424325,587.0,Philippines
11.325076,-16.076789,235747.2788252486,235747.2788252486,235747.27882524658,229970.46650476725,228586.87509955585,227202.89174978324,1458.0,Guinea-Bissau
11.337406,-15.806756,182335.14472595992,182335.1447259597,182335.1447229353,177755.8567302309,176719.2963039708,175685.9388022775,387.0,Guinea-Bissau
11.351539,-15.868578,235593.33063954927,235593.3306411659,235593.33063945046,229701.9079162705,228365.93999095523,227017.81172861613,789.0,Guinea-Bissau
11.393754,98.124506,47590.31280380348,47590.312803842855,47590.312803815395,47590.31280382349,47590.31280382828,47583.477683728415,90.0,Myanmar
11.418195,92.640332,234706.33070240676,234706.33070240688,234706.33070240676,234693.62083422614,234669.74510090164,234724.19989377982,450.0,India
11.427766,98.503374,40513.60306385203,40513.60306378231,40513.60306384639,40501.27128825931,40494.30333171486,40484.76982050677,75.0,Myanmar
11.445542,123.259129,261033.37813732075,261033.37813760107,261033.37813739886,260986.77924894405,260909.4512709314,260825.60034127935,3773.0,Philippines
11.44694,119.807602,267711.3981249227,267711.3981249768,267711.3981251201,267711.39812498254,267711.39812513127,267711.39812512015,3360.0,Philippines
11.463016,-15.686572,238311.5120107772,238311.51201095374,238311.5120107753,232644.5718276837,231287.63646548425,229886.57490339992,1642.0,Guinea-Bissau
11.469391,-15.982622,236404.37375856264,236404.37375838394,236404.37375838394,230825.85393570934,229521.72116124112,228200.43010764127,3182.0,Guinea-Bissau
11.478271,-16.2282,237268.99951598275,237268.99951598252,237268.99951598232,231940.90460967965,230657.780698588,229358.8367685356,721.0,Guinea-Bissau
11.484401,123.217298,261467.25358876924,261467.25358895227,261467.25358880224,261440.78357054672,261377.83857249908,261309.55888548895,3666.0,Philippines
11.533443,-16.321627,237060.141921214,237060.14192121403,237060.14192128414,231506.89656419834,230175.03776389375,228844.48405665893,1727.0,Guinea-Bissau
11.543886,-15.986791,236326.83193954822,236326.8319396471,236326.8319395482,230704.3537604355,229421.2250913389,228104.3205635384,703.0,Guinea-Bissau
11.562473,-15.935281,236318.50496474732,236318.50496567978,236318.5049656802,230517.69074772266,229255.7818689403,227938.1364828897,590.0,Guinea-Bissau
11.585596,124.4839,258617.81438015186,258617.8143801458,258617.8143801452,258617.7735912492,258616.66700759862,258601.25598434627,154299.0,Philippines
11.608769,98.250023,265608.2516654243,265608.2516653334,265608.2516653804,265608.2516653862,265608.24730992015,265608.13196665084,1619.0,Myanmar
11.62288,124.780907,253722.79665282788,327302.49093624897,330470.4761502071,326055.9113679278,322513.7179390418,318382.02113030665,29129.0,Philippines
11.657011,102.56702,392491.0239660657,392491.02227988915,342812.91650749487,334338.31340821576,331531.8823362946,328659.6603899522,1446.0,Thailand
11.660749,124.856403,252677.66093130107,325938.41432309186,329123.76064035343,324573.7752233908,320996.51887597865,316834.5754984405,14319.0,Philippines
11.685609,98.465891,270113.3557871348,270113.3557870753,270113.3557871042,270045.8132918299,269997.36325048713,269934.97154231195,18498.0,Myanmar
11.728469,98.042088,105847.92198004252,105847.92198002181,105847.92198007075,105847.92198004434,105847.92198005435,105847.921962173,201.0,Myanmar
11.732876,98.651593,344113.21471668396,344113.21423156036,343995.54746582184,335127.83353454294,332946.0759264509,330686.8471139747,5986.0,Myanmar
