ID,Long,Lat,Country,Island,pop,geometry,id,cluster,Region
69948,125.476964,5.444604,Philippines,Sarangani Island,7600,POINT (125.476964 5.444604),1413,110,APAC
71051,151.839179,7.345338,Micronesia,Fefan,1544,POINT (151.839179 7.345338),1459,111,APAC
74500,123.597628,12.180535,Philippines,Masbate,705420,POINT (123.597628 12.180535),1581,112,APAC
72879,103.245831,10.72238,Cambodia,Kaoh Rung,405,POINT (103.245831 10.72238),1514,113,APAC
73748,102.56702,11.657011,Thailand,Ko Kut,1446,POINT (102.56702 11.657011),1542,113,APAC
72668,103.991133,10.274726,Vietnam,Dao Phu Quoc,98482,POINT (103.991133 10.274726),1503,113,APAC
74754,144.777038,13.443537,Guam,Guam,160362,POINT (144.777038 13.443537),1603,114,APAC
74908,145.214092,14.157435,Northern Mariana Islands,Rota,1889,POINT (145.214092 14.157435),1613,114,APAC
75754,174.299333,-41.181591,New Zealand,Arapawa Island,95,POINT (174.299333 -41.181591),1638,115,APAC
76155,175.102466,-36.796133,New Zealand,Waiheke Island,19469,POINT (175.102466 -36.796133),1649,116,APAC
77720,167.973461,-21.517013,New Caledonia,Mare,4472,POINT (167.973461 -21.517013),1660,117,APAC
78279,170.217983,-19.528174,Vanuatu,Futuna,324,POINT (170.217983 -19.528174),1667,118,APAC
78968,167.477601,-16.26531,Vanuatu,Malakula,22656,POINT (167.477601 -16.26531),1706,119,APAC
80630,153.438789,-11.328873,Papua New Guinea,Yeina Island,504,POINT (153.438789 -11.328873),1731,120,APAC
80660,166.525632,-11.260288,Solomon Islands,Utupua,1005,POINT (166.525632 -11.260288),1734,121,APAC
81010,142.282251,-10.60634,Australia,Horn Island,641,POINT (142.282251 -10.60634),1750,122,APAC
81004,150.993984,-10.624133,Papua New Guinea,Rocky Islet,1726,POINT (150.993984 -10.624133),1749,123,APAC
84281,155.308815,-6.225006,Papua New Guinea,Bougainville Island,161244,POINT (155.308815 -6.225006),1947,124,APAC
83039,157.57536,-7.414676,Solomon Islands,Rob Roy Island,265,POINT (157.57536 -7.414676),1864,124,APAC
82523,125.577538,-8.229847,East Timor,Pulau Atauro,9908,POINT (125.577538 -8.229847),1821,125,APAC
82248,123.927473,-8.364978,Indonesia,Pulau Marisa,1021,POINT (123.927473 -8.364978),1802,125,APAC
82291,125.11192,-9.247571,Indonesia; East Timor,Pulau Timor,3191134,POINT (125.11192 -9.247571),1803,125,APAC
81515,143.20623,-9.084314,Papua New Guinea,Daru Island,7561,POINT (143.20623 -9.084314),1769,126,APAC
81571,152.754653,-9.111502,Papua New Guinea,Muyua Island,6254,POINT (152.754653 -9.111502),1777,127,APAC
83313,115.619657,-6.977491,Indonesia,Pulau Paliat,10472,POINT (115.619657 -6.977491),1889,128,APAC
84141,114.423988,-5.561531,Indonesia,Pulau Masalembu Besar,35584,POINT (114.423988 -5.561531),1935,129,APAC
83200,128.614522,-7.136832,Indonesia,Pulau Damar,438,POINT (128.614522 -7.136832),1880,130,APAC
83044,138.366615,-7.903901,Indonesia,Pulau Yos Sudarso,31589,POINT (138.366615 -7.903901),1865,131,APAC
83199,134.506675,-7.079893,Indonesia,Pulau Enu,134,POINT (134.506675 -7.079893),1879,132,APAC
83505,105.204445,-6.589843,Indonesia,Pulau Panaitan,1675,POINT (105.204445 -6.589843),1902,133,APAC
84306,148.082342,-5.408801,Papua New Guinea,Sakar Island,155,POINT (148.082342 -5.408801),1948,134,APAC
84350,137.831042,-5.337071,Indonesia,Little Island,91,POINT (137.831042 -5.337071),1952,135,APAC
84983,143.582371,-3.414807,Papua New Guinea,Muschu Island,3457,POINT (143.582371 -3.414807),1997,136,APAC
